"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Y Acceleration 2 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)"
0,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.001666,-0.727936301293,0.859968053701,10.1948124982,1.46409370122,1.17458863428,10.8489478072
0.003332,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.13922951755,10.8853536583
0.004998,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.06851128407,10.8125419561
0.006664,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.10387040081,10.8489478072
0.00833,-0.77408109096,0.814587178465,10.1948124982,1.39337546774,1.13922951755,10.8853536583
0.009996,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.20994775102,10.9922958461
0.011662,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.17458863428,10.8853536583
0.013328,-0.820225880627,0.76920630323,10.1040507478,1.35801635101,1.10387040081,10.8489478072
0.014994,-0.820225880627,0.76920630323,10.1040507478,1.35801635101,1.13922951755,10.8489478072
0.01666,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.018326,-0.820225880627,0.723825427995,10.1040507478,1.32265723427,1.06851128407,10.7761361049
0.019992,-0.77408109096,0.859968053701,10.149431623,1.39337546774,1.10387040081,10.8853536583
0.021658,-0.820225880627,0.76920630323,10.149431623,1.35801635101,1.10387040081,10.8853536583
0.023324,-0.866370670294,0.723825427995,10.1040507478,1.46409370122,1.24530686776,10.9217595095
0.02499,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.17458863428,10.8853536583
0.026656,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.10387040081,10.8489478072
0.028322,-0.820225880627,0.723825427995,10.1040507478,1.35801635101,1.10387040081,10.8489478072
0.029988,-0.820225880627,0.723825427995,10.1040507478,1.39337546774,1.13922951755,10.8853536583
0.031654,-0.866370670294,0.723825427995,10.0586698725,1.28729811753,1.06851128407,10.8853536583
0.03332,-0.820225880627,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.034986,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.10387040081,10.8489478072
0.036652,-0.820225880627,0.76920630323,10.149431623,1.39337546774,1.10387040081,10.8489478072
0.038318,-0.820225880627,0.76920630323,10.149431623,1.39337546774,1.17458863428,10.8853536583
0.039984,-0.866370670294,0.723825427995,10.1040507478,1.32265723427,1.06851128407,10.8125419561
0.04165,-0.820225880627,0.723825427995,10.1040507478,1.35801635101,1.10387040081,10.8853536583
0.043316,-0.820225880627,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.044982,-0.820225880627,0.814587178465,10.149431623,1.46409370122,1.17458863428,10.8853536583
0.046648,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.9217595095
0.048314,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.06851128407,10.8125419561
0.04998,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.10387040081,10.8853536583
0.051646,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.17458863428,10.8853536583
0.053312,-0.820225880627,0.76920630323,10.1040507478,1.49945281795,1.20994775102,10.9217595095
0.054978,-0.820225880627,0.76920630323,10.1040507478,1.39337546774,1.17458863428,10.8853536583
0.056644,-0.820225880627,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8489478072
0.05831,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.10387040081,10.8853536583
0.059976,-0.820225880627,0.723825427995,10.1040507478,1.39337546774,1.13922951755,10.8853536583
0.061642,-0.77408109096,0.859968053701,10.1948124982,1.32265723427,1.06851128407,10.8125419561
0.063308,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.064974,-0.866370670294,0.76920630323,10.149431623,1.35801635101,1.10387040081,10.8853536583
0.06664,-0.866370670294,0.76920630323,10.1040507478,1.42873458448,1.13922951755,10.8853536583
0.068306,-0.820225880627,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.069972,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.06851128407,10.8125419561
0.071638,-0.866370670294,0.723825427995,10.1040507478,1.35801635101,1.13922951755,10.8853536583
0.073304,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.07497,-0.820225880627,0.76920630323,10.149431623,1.49945281795,1.17458863428,10.8853536583
0.076636,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.078302,-0.866370670294,0.76920630323,10.1040507478,1.35801635101,1.06851128407,10.8125419561
0.079968,-0.820225880627,0.723825427995,10.1040507478,1.35801635101,1.10387040081,10.8853536583
0.081634,-0.820225880627,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.0833,-0.820225880627,0.723825427995,10.1040507478,1.32265723427,1.20994775102,10.9922958461
0.084966,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.13922951755,10.8853536583
0.086632,-0.727936301293,0.859968053701,10.1948124982,1.35801635101,1.10387040081,10.8853536583
0.088298,-0.820225880627,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.8489478072
0.089964,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.10387040081,10.8853536583
0.09163,-0.77408109096,0.76920630323,10.149431623,1.28729811753,1.06851128407,10.8125419561
0.093296,-0.866370670294,0.723825427995,10.1040507478,1.39337546774,1.13922951755,10.8853536583
0.094962,-0.866370670294,0.76920630323,10.1040507478,1.39337546774,1.10387040081,10.8853536583
